[residual, scale=1, rtps=0] 200/38842, 0.081 s/frame
[residual, scale=1, rtps=0] 400/38842, 0.080 s/frame
[residual, scale=1, rtps=0] 600/38842, 0.080 s/frame
[residual, scale=1, rtps=0] 800/38842, 0.080 s/frame
[residual, scale=1, rtps=0] 1000/38842, 0.079 s/frame
[residual, scale=1, rtps=0] 1200/38842, 0.080 s/frame
[residual, scale=1, rtps=0] 1400/38842, 0.080 s/frame
[residual, scale=1, rtps=0] 1600/38842, 0.080 s/frame
[residual, scale=1, rtps=0] 1800/38842, 0.080 s/frame
[residual, scale=1, rtps=0] 2000/38842, 0.080 s/frame
[residual, scale=1, rtps=0] 2200/38842, 0.080 s/frame
[residual, scale=1, rtps=0] 2400/38842, 0.080 s/frame
[residual, scale=1, rtps=0] 2600/38842, 0.080 s/frame
[residual, scale=1, rtps=0] 2800/38842, 0.080 s/frame
[residual, scale=1, rtps=0] 3000/38842, 0.080 s/frame
[residual, scale=1, rtps=0] 3200/38842, 0.080 s/frame
[residual, scale=1, rtps=0] 3400/38842, 0.080 s/frame
[residual, scale=1, rtps=0] 3600/38842, 0.080 s/frame
[residual, scale=1, rtps=0] 3800/38842, 0.080 s/frame
[residual, scale=1, rtps=0] 4000/38842, 0.080 s/frame
[residual, scale=1, rtps=0] 4200/38842, 0.079 s/frame
[residual, scale=1, rtps=0] 4400/38842, 0.079 s/frame
[residual, scale=1, rtps=0] 4600/38842, 0.079 s/frame
[residual, scale=1, rtps=0] 4800/38842, 0.079 s/frame
[residual, scale=1, rtps=0] 5000/38842, 0.078 s/frame
[residual, scale=1, rtps=0] 5200/38842, 0.078 s/frame
[residual, scale=1, rtps=0] 5400/38842, 0.078 s/frame
[residual, scale=1, rtps=0] 5600/38842, 0.078 s/frame
[residual, scale=1, rtps=0] 5800/38842, 0.078 s/frame
[residual, scale=1, rtps=0] 6000/38842, 0.077 s/frame
[residual, scale=1, rtps=0] 6200/38842, 0.077 s/frame
[residual, scale=1, rtps=0] 6400/38842, 0.077 s/frame
[residual, scale=1, rtps=0] 6600/38842, 0.077 s/frame
[residual, scale=1, rtps=0] 6800/38842, 0.076 s/frame
[residual, scale=1, rtps=0] 7000/38842, 0.076 s/frame
[residual, scale=1, rtps=0] 7200/38842, 0.076 s/frame
[residual, scale=1, rtps=0] 7400/38842, 0.076 s/frame
[residual, scale=1, rtps=0] 7600/38842, 0.075 s/frame
[residual, scale=1, rtps=0] 7800/38842, 0.075 s/frame
[residual, scale=1, rtps=0] 8000/38842, 0.075 s/frame
[residual, scale=1, rtps=0] 8200/38842, 0.075 s/frame
[residual, scale=1, rtps=0] 8400/38842, 0.075 s/frame
[residual, scale=1, rtps=0] 8600/38842, 0.074 s/frame
[residual, scale=1, rtps=0] 8800/38842, 0.074 s/frame
[residual, scale=1, rtps=0] 9000/38842, 0.074 s/frame
[residual, scale=1, rtps=0] 9200/38842, 0.074 s/frame
[residual, scale=1, rtps=0] 9400/38842, 0.074 s/frame
[residual, scale=1, rtps=0] 9600/38842, 0.074 s/frame
[residual, scale=1, rtps=0] 9800/38842, 0.073 s/frame
[residual, scale=1, rtps=0] 10000/38842, 0.073 s/frame
[residual, scale=1, rtps=0] 10200/38842, 0.073 s/frame
[residual, scale=1, rtps=0] 10400/38842, 0.073 s/frame
[residual, scale=1, rtps=0] 10600/38842, 0.073 s/frame
[residual, scale=1, rtps=0] 10800/38842, 0.073 s/frame
[residual, scale=1, rtps=0] 11000/38842, 0.072 s/frame
[residual, scale=1, rtps=0] 11200/38842, 0.072 s/frame
[residual, scale=1, rtps=0] 11400/38842, 0.072 s/frame
[residual, scale=1, rtps=0] 11600/38842, 0.072 s/frame
[residual, scale=1, rtps=0] 11800/38842, 0.072 s/frame
[residual, scale=1, rtps=0] 12000/38842, 0.072 s/frame
[residual, scale=1, rtps=0] 12200/38842, 0.072 s/frame
[residual, scale=1, rtps=0] 12400/38842, 0.072 s/frame
[residual, scale=1, rtps=0] 12600/38842, 0.072 s/frame
[residual, scale=1, rtps=0] 12800/38842, 0.072 s/frame
[residual, scale=1, rtps=0] 13000/38842, 0.071 s/frame
[residual, scale=1, rtps=0] 13200/38842, 0.071 s/frame
[residual, scale=1, rtps=0] 13400/38842, 0.071 s/frame
[residual, scale=1, rtps=0] 13600/38842, 0.071 s/frame
[residual, scale=1, rtps=0] 13800/38842, 0.071 s/frame
[residual, scale=1, rtps=0] 14000/38842, 0.071 s/frame
[residual, scale=1, rtps=0] 14200/38842, 0.071 s/frame
[residual, scale=1, rtps=0] 14400/38842, 0.071 s/frame
[residual, scale=1, rtps=0] 14600/38842, 0.071 s/frame
[residual, scale=1, rtps=0] 14800/38842, 0.070 s/frame
[residual, scale=1, rtps=0] 15000/38842, 0.070 s/frame
[residual, scale=1, rtps=0] 15200/38842, 0.070 s/frame
[residual, scale=1, rtps=0] 15400/38842, 0.070 s/frame
[residual, scale=1, rtps=0] 15600/38842, 0.070 s/frame
[residual, scale=1, rtps=0] 15800/38842, 0.070 s/frame
[residual, scale=1, rtps=0] 16000/38842, 0.070 s/frame
[residual, scale=1, rtps=0] 16200/38842, 0.070 s/frame
[residual, scale=1, rtps=0] 16400/38842, 0.070 s/frame
[residual, scale=1, rtps=0] 16600/38842, 0.070 s/frame
[residual, scale=1, rtps=0] 16800/38842, 0.070 s/frame
[residual, scale=1, rtps=0] 17000/38842, 0.070 s/frame
[residual, scale=1, rtps=0] 17200/38842, 0.069 s/frame
[residual, scale=1, rtps=0] 17400/38842, 0.069 s/frame
[residual, scale=1, rtps=0] 17600/38842, 0.069 s/frame
[residual, scale=1, rtps=0] 17800/38842, 0.069 s/frame
[residual, scale=1, rtps=0] 18000/38842, 0.069 s/frame
[residual, scale=1, rtps=0] 18200/38842, 0.069 s/frame
