  member 0: runs/varnet_vsb0_h96_s0/ckpt_00080.pt  epoch=80  n_iter=20
  member 1: runs/varnet_vsb0_h96_s1/ckpt_00090.pt  epoch=90  n_iter=20
  member 2: runs/varnet_vsb0_h96_s2/ckpt_00149.pt  epoch=149  n_iter=20
  member 3: runs/varnet_vsb0_h96_s3/ckpt_00140.pt  epoch=140  n_iter=20
  member 4: runs/varnet_vsb0_h96_s4/ckpt_00140.pt  epoch=140  n_iter=20
[members] 5 x runs/varnet_vsb0_h96_s{}  dT=200  obs_every_k=1  dev=cuda
  atc-20130811_corridor_1.0s.h5  199 windows
  atc-20130818_corridor_1.0s.h5  194 windows
  atc-20130825_corridor_1.0s.h5  214 windows
  atc-20130901_corridor_1.0s.h5  198 windows
  atc-20130915_corridor_1.0s.h5  196 windows
  atc-20130922_corridor_1.0s.h5  194 windows
  atc-20130929_corridor_1.0s.h5  189 windows

split                             RMSE     CRPS      NLL   sigma  sp/sk  90%cov
all                             0.1919   0.1394    0.155  0.4976   2.59   98.6%
all_aleatoric_only              0.1919   0.1389    0.178  0.4919   2.56   98.2%
all_epistemic_only              0.1919   0.0737    8.051  0.0512   0.27   70.6%
all_constant_sigma_baseline     0.1919   0.0882   -0.232  0.1919   1.00   92.6%
blind                           0.2085   0.1414    0.184  0.4987   2.39   98.3%
observed                        0.1711   0.1371    0.123  0.4963   2.90   98.9%
defined                         0.2700   0.1626    0.314  0.5180   1.92   97.0%
defined_constant_sigma_baseline  0.2700   0.1268    0.110  0.2700   1.00   91.8%
defined_blind                   0.3848   0.2028    0.591  0.5250   1.36   93.6%
defined_blind_constant_sigma_baseline  0.3848   0.1916    0.464  0.3848   1.00   89.3%
defined_observed                0.1492   0.1355    0.127  0.5132   3.44   99.3%
defined_observed_constant_sigma_baseline  0.1492   0.0722   -0.483  0.1492   1.00   92.2%
blind_constant_sigma_baseline   0.2085   0.0913   -0.149  0.2085   1.00   93.8%
channel_density                 0.1089   0.1241    0.089  0.4907   4.50   99.3%
channel_vx                      0.3370   0.2164    0.609  0.6448   1.91   96.1%
channel_vy                      0.1238   0.1184    0.057  0.4470   3.61   99.1%
channel_var                     0.0810   0.0986   -0.133  0.4078   5.04   99.7%

[out] /scratch/work/zhangx29/Thesis_Project/methods/varnet/check_outputs/eval/uncertainty_vsb0.json

EnKF k=1 for reference (measured, check_outputs/enkf_k1_full):  spread/skill 0.011   90% coverage 2.24%
